economist_daily_chart_520,Quality Rating,Mention of Visual (non-data) elements,Mention of a data element or visual encoding,Extra inference/insight,Description of the title,Description of another element,NOT 100% accurate,Possible recall of different viz,
43,,,,,,,,,http://labelme2.csail.mit.edu/Release3.0/tool.html?collection=LabelMe&folder=users/zoya//visualizations/economist&image=economist_daily_chart_520.jpg
mg_15_2:,1,0,0,0,0,Axis Label,0,,It's some ecological thing about discarded plastic in the US.
vm_20_1:,1,0,0,0,0,Axis Label,1,,plastic the brown line is for the US use
44,,,,,,,,,http://labelme2.csail.mit.edu/Release3.0/tool.html?collection=LabelMe&folder=users/zoya//visualizations/economist&image=economist_daily_chart_521.jpg
mg_15_3:,2,0,0,1,1,Legend,0,,Space debris by type. Most space objects are tiny bits of crap that broke off or got dropped from something bigger.
vm_20_1:,2,0,0,0,1,,0,,space junk
163,,,,,,,,,http://labelme2.csail.mit.edu/Release3.0/tool.html?collection=LabelMe&folder=users/zoya//visualizations/visually&image=vis250.jpg
pi_5_3:,3,0,1,0,1,Legend,,,66% of viewers think Romney won last night's debate. Red is viewers who think Romney won. Blue is viewers who think Obama won. Broken down by viewer's party.
sk2_6_2:,3,0,0,0,1,,,,Assesment of Romney vs. Obama in the presidential debates by different political affiliations.
cy_12_1:,2,0,0,0,1,,,,obama and romney most people things romney did better than obama in the debates
db_19_1:,3,1,1,1,1,,,,the percentages of people who thought Romney debated better than Obama.  (~60% of everyone (~80% Republicans 60% independent and ~35% democrats)  At the bottom is a picture of the two gesturing or about to shake hands
em_23_1:,3,0,1,1,1,Axis,,,66% of Americans believed Romney did better in debates.  The charts split out among different types of registered voters i.e. democrats republicans independents etc.
mg_15_1:,2,0,0,1,1,Axis,,,Romney beat Obama in the debates says everyone but mostly republicans.
ra_25_1:,2,0,0,0,1,,,,people though Romney delivered better than Obama did during the debates
rs_16_1:,2,0,0,0,1,,,,romney was a better debater than obama (66%)
sh_26_1:,2,0,0,0,1,,,,a bunch of people thought romney was better that obama in the debates
